Model,English Field,Kurdish Field,Field Type,Nullable,Location
Subject,name,name_kurdish,String(100),Yes,Forms & Database
Subject,description,description_kurdish,Text,Yes,Forms & Database
Page,title,title_kurdish,String(100),Yes,Forms & Database
Page,content_body,content_body_kurdish,Text,Yes,Forms & Database
Resource,title,title_kurdish,String(100),Yes,Forms & Database
SystemCommand,title,title_kurdish,String(100),Yes,Forms & Database
SystemCommand,description,description_kurdish,Text,Yes,Forms & Database
Tool,title,title_kurdish,String(100),Yes,Forms & Database
Tool,description,description_kurdish,Text,Yes,Forms & Database
InfoPage,title,title_kurdish,String(100),Yes,Forms & Database
InfoPage,content,content_kurdish,Text,Yes,Forms & Database
Form,Subject Name,Subject Name (Kurdish),Input Field,-,admin_dashboard.html
Form,Description,Description (Kurdish),TextArea,-,admin_dashboard.html
Form,Page Title,Page Title (Kurdish),Input Field,-,teacher/builder.html (Scenario 1)
Form,Content (English),Content (Kurdish),TextArea,-,teacher/builder.html (Scenario 1)
Form,Resource Title,Resource Title (Kurdish),Input Field,-,teacher/builder.html (Scenario 2)
Form,Subject Name,Subject Name (Kurdish),Input Field,-,teacher/builder.html (Scenario 3)
Form,Subject Description,Subject Description (Kurdish),TextArea,-,teacher/builder.html (Scenario 3)
Form,Tool Name,Tool Name (Kurdish),Input Field,-,toolbase.html
Form,Description,Description (Kurdish),TextArea,-,toolbase.html
Form,Command Title,Command Title (Kurdish),Input Field,-,admin/commands.html
Form,Description / When to use,Description (Kurdish),TextArea,-,admin/commands.html
Form,Page Title,Page Title (Kurdish),Input Field,-,admin/edit_about.html
Form,Page Content (English),Page Content (Kurdish),TextArea,-,admin/edit_about.html
